iter	Passed	Remaining
0	159	15803
1	170	8376
2	182	5894
3	194	4667
4	207	3935
5	219	3432
6	230	3067
7	242	2794
8	256	2592
9	268	2413
10	278	2253
11	289	2122
12	299	2007
13	310	1906
14	320	1816
15	334	1756
16	345	1684
17	355	1620
18	366	1561
19	376	1506
20	387	1457
21	399	1415
22	411	1376
23	422	1337
24	432	1298
25	443	1261
26	454	1228
27	464	1195
28	475	1163
29	486	1134
30	496	1106
31	506	1076
32	516	1049
33	526	1022
34	535	995
35	545	970
36	555	946
37	565	922
38	580	908
39	627	941
40	672	967
41	684	945
42	696	923
43	723	921
44	739	903
45	748	879
46	758	855
47	768	832
48	779	811
49	790	790
50	800	768
51	809	747
52	819	726
53	827	705
54	839	686
55	849	667
56	860	649
57	871	630
58	880	612
59	890	593
60	899	575
61	908	556
62	918	539
63	928	522
64	938	505
65	947	488
66	957	471
67	968	455
68	977	439
69	988	423
70	999	408
71	1009	392
72	1020	377
73	1031	362
74	1043	347
75	1053	332
76	1065	318
77	1076	303
78	1086	288
79	1097	274
80	1108	260
81	1119	245
82	1129	231
83	1139	217
84	1148	202
85	1159	188
86	1170	174
87	1178	160
88	1189	146
89	1198	133
90	1208	119
91	1217	105
92	1226	92
93	1236	78
94	1246	65
95	1256	52
96	1264	39
97	1273	25
98	1282	12
99	1292	0
